,C06,C04,KSH01,BT01,C02,C07,USS01,C05,MBS01,C01,C03
xxx:additionalityApproach,,[...],,,,,,,,,
xxx:additionalityAssessment,[...],,,,,[...],,[...],,,
xxx:aggregatedProjects,,[...],,,,,,,,,
xxx:allowsAggregatedProjects,[...],,[...],,,[...],,[...],[...],,
xxx:baselineMethod,,,,,,,,[...],,,
xxx:biocharApplicationType,,,,,,,,[...],,,
xxx:biocharFeedstockMaterial,,,,,,,,[...],,,
xxx:bufferPoolAccounts,[...],{...},,,,[...],,[...],,,
xxx:certifications,,,,,[...],,,,,[...],[...]
xxx:geographicApplicability,,,California,,,,,,,,
xxx:landOwnershipType,[...],[...],[...],,,[...],,[...],,,
xxx:leakageApproach,,[...],,,,,,,,,
xxx:leakageAssessment,,,,,,[...],,[...],,,
xxx:lookbackPeriod,-P10Y,P-14Y,-P3Y,,,-P5Y,,-P1Y,,,
xxx:measuredGHGs,[...],[...],,,,[...],,[...],,,
xxx:monitoringFrequency,,Annual,P1D,,,P5Y,,P1Y,,,
xxx:sectoralScope,[...],[...],,,[...],[...],,[...],,[...],[...]
xxx:tokenizationSource,,,,,,,,,,,Toucan
xxx:verificationFrequency,,Five year,P1Y,,,P5Y,,P1Y,,,
xxx:verificationMethod,,,,,Third-party verified,,,,,Third-party verified,Third-Party Verified
xxx:verificationMethods,[...],[...],[...],,,[...],,[...],,,
