,C06,C04,KSH01,BT01,C02,C07,USS01,C05,MBS01,C01,C03
xxx:additionalityApproach,,"['Common Practice Analysis', 'Regulatory Additionality']",,,,,,,,,
xxx:additionalityAssessment,['Regulatory Surplus'],,,,,['Regulatory Surplus'],,"['Regulatory Surplus', 'Positive List']",,,
xxx:aggregatedProjects,,True,,,,,,,,,
xxx:allowsAggregatedProjects,True,,False,,,True,,True,True,,
xxx:baselineMethod,,,,,,,,['Project Method'],,,
xxx:biocharApplicationType,,,,,,,,"['Surface', 'Subsurface']",,,
xxx:biocharFeedstockMaterial,,,,,,,,"['Agricultural waste biomass', 'Food processing resedues', 'Woody biomass', 'Industrial waste', 'Aquaculture plants']",,,
xxx:bufferPoolAccounts,"[{'schema:name': 'Blaston Estate Project Specific Buffer Pool', 'regen:walletAddress': '', 'regen:poolAllocation': '20%'}]","{'@type': 'schema:ItemList', 'schema:itemListElement': [{'schema:name': 'Credit Class (Pooled) Buffer Pool', 'regen:walletAddress': 'regen17pmq7hp4upvmmveqexzuhzu64v36re3w3447n7dt46uwp594wtpsuuh7f6', 'regen:poolAllocation': '5%'}]}",,,,"[{'schema:name': 'Credit Class Buffer Pool', 'regen:walletAddress': 'regen1wgjpjh42cr7t5sp5hgty4yrzww496a6yaznc9u4wsv9ac3xccu8szz2upa', 'regen:poolAllocation': '20%'}, {'schema:name': 'Credit Class Permanence Pool', 'regen:walletAddress': 'regen1wgjpjh42cr7t5sp5hgty4yrzww496a6yaznc9u4wsv9ac3xccu8szz2upa', 'regen:poolAllocation': '5%'}]",,"[{'schema:name': 'Carbon Removal through Biochar Production Credit Class Buffer Pool', 'regen:walletAddress': 'regen1wgjpjh42cr7t5sp5hgty4yrzww496a6yaznc9u4wsv9ac3xccu8szz2upa', 'regen:poolAllocation': '10%'}]",,,
xxx:certifications,,,,,"[{'schema:url': 'https://icroa.org/', 'schema:name': 'ICROA approved'}]",,,,,"[{'schema:url': 'https://icroa.org/', 'schema:name': 'ICROA approved'}]","[{'schema:url': 'https://icroa.org/', 'schema:name': 'ICROA approved'}]"
xxx:geographicApplicability,,,California,,,,,,,,
xxx:landOwnershipType,"['Public', 'Private', 'Tribal']","['Public', 'Private']",['Private'],,,"['Public', 'Private', 'Tribal']",,"['Public', 'Private', 'Tribal']",,,
xxx:leakageApproach,,['Activity Shifting Leakage'],,,,,,,,,
xxx:leakageAssessment,,,,,,['Livestock Displacement'],,['Transport Emissions'],,,
xxx:lookbackPeriod,-P10Y,P-14Y,-P3Y,,,-P5Y,,-P1Y,,,
xxx:measuredGHGs,['Carbon Dioxide (CO2)'],"['Carbon Dioxide (CO2)', 'Nitrous Oxide (NO2)', 'Methane (CH4)']",,,,"['Carbon Dioxide (CO2)', 'Methane (CH4)']",,"['Carbon Dioxide (CO2)', 'Methane (CH4)']",,,
xxx:monitoringFrequency,,Annual,P1D,,,P5Y,,P1Y,,,
xxx:sectoralScope,"['Agriculture, Forestry, and Other Land Use (AFOLU)']",['Livestock & Manure Management'],,,['Agriculture Forestry and Other Land Use (AFOLU)'],['Waste Handling and Disposal'],,['Waste Handling and Disposal'],,"['Agriculture Forestry and Other Land Use (AFOLU)', 'Livestock and Manure Management']","['Agriculture Forestry and Other Land Use (AFOLU)', 'Livestock and Manure Management']"
xxx:tokenizationSource,,,,,,,,,,,Toucan
xxx:verificationFrequency,,Five year,P1Y,,,P5Y,,P1Y,,,
xxx:verificationMethod,,,,,Third-party verified,,,,,Third-party verified,Third-Party Verified
xxx:verificationMethods,"['Third-Party Verification', 'ISO 14066']","['Ruuts Internal Quality Assurance', 'Third-Party ISO 14064-3 Verification']",['Regen Network Development Science Team Quality Assurance'],,,['Third-Party Verification'],,['Third-Party Verification'],,,
